"","X","IDp","IDf","IDm","sex","byear","dyear","cregcode","sregcode","lifespan","afr","lrs","bcohort.20","bcohort.10","predicted_lifespan","is.dyear.known","dyear.predicted","migrantstatus","afr_5thp","afr_median","arryear","depyear","presence_duration"
"9452",30475,"P0000033974","P0000033593","P0000033965","F",1885,1954,"GL03",NA,69.4135338345865,NA,NA,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",61.6705399863295,"yes",1954,"resident_assumed_unmarried",19.1501025290499,24.2802460697198,1885,1954,69
"9453",30476,"P0000033975","P0000033593","P0000033965","M",1886,1959,"GL03","GL03",72.946001367054,23.5434039644566,4,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",54.622009569378,"yes",1959,"resident_married",21.6992481203008,27.5434039644566,1886,1959,73
"9454",30477,"P0000033976","P0000033593","P0000033965","F",1889,NA,"GL03","GL03",NA,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"no:dyear_missing",1953.04374572796,"resident_married",19.3837320574163,24.6534518113465,1889,1953,64
"9455",30478,"P0000033977","P0000033593","P0000033965","F",1891,1893,"GL03",NA,1.36705399863295,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"yes",1893,"died_in_childhood",19.3837320574163,24.6534518113465,1891,1893,2
"9456",30479,"P0000033978","P0000033593","P0000033965","F",1894,1982,"GL03",NA,87.61995898838,NA,NA,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"yes",1982,"resident_assumed_unmarried",19.3837320574163,24.6534518113465,1894,1982,88
"9457",30480,"P0000033979","P0000033308","P0000026483","M",1876,1944,"GL03","GL03",67.7074504442925,30.714969241285,3,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",46.1216678058783,"yes",1944,"resident_married",21.6992481203008,27.5434039644566,1876,1944,68
"9458",30481,"P0000033980","P0000033308","P0000026691","M",1886,1892,"GL03",NA,6.02597402597403,NA,NA,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",54.622009569378,"yes",1892,"died_in_childhood",21.6992481203008,27.5434039644566,1886,1892,6
"9459",30482,"P0000033981","P0000033308","P0000026691","F",1891,1960,"GL03","GL03",69.1319207108681,23.1633629528366,1,"(1.89e+03,1.91e+03]","(1.89e+03,1.9e+03]",64.0437457279562,"yes",1960,"resident_married",19.3837320574163,24.6534518113465,1891,1960,69
"9460",30483,"P0000033982",NA,NA,"F",1841,1903,NA,"GL03",61.1729323308271,NA,NA,"(1.83e+03,1.85e+03]","(1.84e+03,1.85e+03]",54.0779220779221,"yes",1903,"immigrant",18.8716336295284,24.0328092959672,1865,1903,38
"9461",30484,"P0000033983",NA,NA,"F",1864,1928,NA,"GL03",63.2781954887218,NA,NA,"(1.85e+03,1.87e+03]","(1.86e+03,1.87e+03]",36.6684894053315,"yes",1928,"immigrant",19.298017771702,23.6418318523582,1888,1928,40
"9462",30486,"P0000033984",NA,NA,"F",1856,NA,"GL11","GL03",NA,21.5775803144224,NA,"(1.85e+03,1.87e+03]","(1.85e+03,1.86e+03]",38.107997265892,"no:dyear_missing",1894.10799726589,"immigrant",19.298017771702,23.6418318523582,1877,1894,17
"9463",30487,"P0000033986","P0000033597","P0000033984","M",1877,1908,"GL03",NA,30.5673274094327,NA,NA,"(1.87e+03,1.89e+03]","(1.87e+03,1.88e+03]",46.1216678058783,"yes",1908,"resident_assumed_unmarried",21.6992481203008,27.5434039644566,1877,1908,31
"9464",30488,"P0000033987","P0000033597","P0000033984","M",1879,1918,"GL03","GL03",39.5543403964457,30.7751196172249,1,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",54.622009569378,"yes",1918,"resident_married",21.6992481203008,27.5434039644566,1879,1918,39
